50
7 2 15 5
4 9 14 2
5 9 23 7
7 14 30 5
1 20 29 7
1 25 33 0
4 20 33 7
7 24 36 9
3 35 43 0
9 34 50 4
2 51 57 5
7 46 61 5
2 52 60 2
1 57 58 2
8 57 70 3
4 71 77 9
9 75 88 7
4 84 92 3
3 86 95 8
7 86 100 2
2 91 98 0
7 96 105 3
1 106 111 0
8 105 119 5
2 117 127 1
7 119 126 8
4 117 122 6
5 123 130 1
1 128 129 5
3 130 140 2
8 132 143 2
3 143 148 4
2 142 148 3
6 147 156 8
7 151 160 9
5 161 173 0
4 170 181 6
1 165 169 7
6 173 181 0
6 177 188 5
6 180 191 6
7 187 196 6
6 192 206 5
2 200 209 2
8 202 217 6
4 207 216 8
2 212 215 9
6 217 229 3
7 225 241 5
3 230 237 0
