300
6 4 13 1
4 10 19 1
5 13 22 0
3 18 28 3
3 17 20 3
6 21 27 6
3 31 40 6
3 33 44 4
6 31 43 5
8 37 45 8
7 45 59 2
5 53 60 7
8 55 68 0
6 68 82 2
1 68 70 2
4 77 88 2
7 75 88 1
2 89 92 1
5 84 96 4
7 93 107 6
5 96 107 6
7 105 116 0
7 113 126 8
6 118 125 1
9 121 131 9
9 133 148 2
5 145 151 4
8 142 151 2
4 154 165 4
8 154 164 0
2 165 176 9
5 169 177 3
7 170 181 2
1 184 194 8
4 182 188 3
5 181 187 3
7 186 196 5
5 202 216 3
2 202 210 4
4 201 211 4
2 212 219 1
7 209 216 8
6 218 227 9
1 219 224 2
2 225 230 3
4 223 232 2
9 229 247 2
4 236 248 5
5 244 258 4
9 249 264 1
7 257 266 7
8 267 275 2
5 272 277 5
3 273 282 9
4 285 293 1
8 285 299 8
8 293 301 8
7 301 309 8
1 312 315 1
1 305 310 9
2 306 311 4
2 311 320 2
8 317 332 5
7 326 338 4
7 325 339 2
2 333 336 0
9 334 347 3
4 347 352 4
6 354 364 1
3 359 368 8
8 355 363 2
7 368 376 1
9 376 389 6
3 386 398 0
2 385 394 7
4 390 397 0
4 388 398 2
9 396 411 0
9 405 417 8
8 415 431 7
5 424 432 0
1 430 437 5
7 426 440 7
5 435 446 8
6 445 452 6
1 444 452 6
1 443 447 4
7 447 455 7
7 451 462 5
6 458 470 9
7 471 478 1
3 471 481 8
2 477 481 6
9 480 493 4
4 488 500 4
2 489 498 2
6 492 503 9
3 502 509 8
2 509 512 4
5 506 518 7
7 510 517 3
2 514 517 7
7 521 534 0
2 526 532 8
1 529 535 2
8 531 546 8
4 534 545 8
9 539 555 6
3 552 561 4
2 554 564 0
8 555 572 3
7 569 576 8
8 576 592 5
1 583 592 8
2 580 585 6
2 587 598 3
3 589 598 3
1 584 585 7
3 592 598 2
7 594 610 9
4 595 601 3
4 599 610 2
6 604 612 3
4 608 616 9
7 612 622 7
5 623 632 3
9 631 649 2
2 640 646 3
8 640 654 5
8 651 668 1
4 658 667 8
1 662 670 5
7 656 664 0
9 670 687 7
9 677 690 2
2 684 694 4
9 691 706 4
9 695 713 5
6 706 717 8
3 708 719 0
9 719 728 5
4 723 734 8
6 731 744 4
6 737 749 7
1 742 743 4
6 739 754 5
1 744 752 0
7 750 765 3
1 751 760 7
2 760 762 0
9 753 769 5
2 762 773 8
5 767 781 4
9 776 785 2
8 782 791 5
8 789 801 1
9 797 810 3
9 803 820 1
8 815 831 9
6 820 829 3
1 831 837 3
1 832 838 9
1 828 836 9
9 836 848 9
6 847 855 7
9 849 863 0
4 860 871 7
6 858 865 0
5 872 880 9
4 873 878 7
5 876 885 3
6 883 895 0
3 885 892 7
6 894 904 9
5 896 903 0
1 899 908 6
8 907 916 9
6 913 922 8
2 917 928 3
3 918 926 8
7 921 933 0
9 931 945 7
5 942 954 0
5 945 951 5
8 949 958 2
7 957 966 1
8 959 967 9
6 972 986 0
8 972 986 8
6 982 992 3
8 989 999 4
5 1000 1011 6
4 1003 1012 6
3 1005 1011 9
4 1012 1025 6
7 1010 1021 7
1 1023 1032 0
7 1027 1038 6
2 1025 1035 5
1 1028 1035 6
5 1028 1037 1
4 1042 1051 7
9 1037 1054 1
9 1048 1066 5
9 1056 1069 3
8 1071 1080 1
1 1075 1083 3
7 1082 1095 0
1 1087 1089 3
6 1084 1094 8
4 1087 1098 0
6 1093 1102 8
8 1106 1118 8
1 1107 1117 0
5 1109 1115 1
5 1117 1122 5
5 1119 1127 1
7 1122 1138 0
2 1129 1139 2
1 1131 1136 3
5 1131 1144 1
9 1141 1152 2
3 1151 1160 8
6 1156 1163 5
7 1161 1177 3
3 1167 1171 6
3 1170 1177 3
7 1170 1186 4
6 1182 1196 9
1 1182 1190 7
6 1185 1194 8
6 1191 1204 0
5 1201 1212 9
4 1202 1206 0
3 1206 1212 6
1 1210 1218 4
5 1212 1224 4
6 1219 1227 7
8 1217 1233 9
5 1225 1234 1
4 1235 1245 4
8 1234 1245 4
5 1248 1253 7
6 1256 1270 2
8 1261 1275 7
1 1269 1274 6
4 1262 1272 1
6 1273 1279 6
2 1274 1281 9
3 1278 1289 4
8 1281 1293 1
5 1291 1304 6
1 1293 1296 4
7 1295 1310 2
3 1299 1306 9
9 1301 1316 2
8 1315 1325 2
1 1323 1331 1
6 1321 1328 0
3 1332 1341 3
8 1329 1338 6
1 1340 1345 6
2 1342 1349 6
5 1340 1347 0
4 1349 1357 5
5 1357 1371 8
9 1359 1371 2
1 1364 1372 3
2 1368 1379 7
3 1374 1383 2
3 1369 1379 7
5 1377 1389 5
3 1379 1385 6
7 1381 1391 2
3 1386 1397 7
3 1398 1404 2
6 1394 1405 6
4 1398 1411 1
9 1407 1425 1
7 1415 1428 6
7 1424 1438 5
5 1430 1441 9
6 1435 1446 5
9 1441 1458 7
7 1450 1464 5
6 1457 1467 9
9 1463 1474 5
5 1473 1482 8
7 1472 1479 4
1 1485 1487 8
8 1480 1488 4
4 1491 1502 3
1 1494 1496 6
4 1496 1505 8
9 1501 1516 1
1 1509 1517 2
8 1516 1525 6
3 1516 1519 2
2 1518 1527 8
9 1528 1546 0
